key,section,EN,FR,ES,source_files,usage
common.overall,common,Overall,Global,General,charts_score.R; export.R,Generic displayed label
common.others,common,Others,Autres,Otros,charts_sampling.R; charts_score.R,Generated category label
common.total,common,Total,Total,Total,charts.R; tables.R,Table total row
common.no_data,common,no data,données indisponibles,datos no disponibles,charts_sampling.R,Chart annotation
common.source,common,Source,Source,Fuente,charts_sampling.R,Caption label
common.note,common,Note,Note,Nota,charts_sampling.R,Caption label
common.respondents,common,Respondents,Répondants,Personas encuestadas,charts_sampling.R,Map popup label
common.total_respondents,common,Total respondents,Nombre total de répondants,Número total de personas encuestadas,charts_sampling.R; charts.R; tables.R,Legend/table header
common.percentage,common,Percentage (%),Pourcentage (%),Porcentaje (%),charts.R; tables.R,Table header
common.female,common,Female,Femme,Mujer,charts.R; tables.R; export.R,Gender category
common.male,common,Male,Homme,Hombre,charts.R; tables.R; export.R,Gender category
common.other_or_no_answer,common,Other or did not answer,Autre ou sans réponse,Otro o sin respuesta,charts.R; tables.R,Gender category
report.sampling,report,Sampling,Échantillonnage,Muestreo,,
report.geographic_distribution,report,Geographic distribution,Distribution géographique,Muestreo,,
report.coverage,report,Coverage,Couverture,Cobertura,,
report.gender,report,Gender and Age,Genre et âge,Género y edad,,
report.results,report,Survey Results,Résultats de l'enquête,Resultados de la encuesta,,
report.drivers,report,Perception of trust,Perception de la confiance,Percepción de la confianza,,
report.competencies,report,Competencies,Compétences,Competencias,,
report.values,report,Values,Valeurs,Valores,,
report.contextual_questions,report,Contextual questions,Questions contextuelles,Preguntas contextuales,,
report.exp_questions,report,Experiences,Expériences,Experiencias,,
report.behaviours_questions,report,Behaviours,Comportements,Comportamientos,,
report.intention_questions,report,Intention,Intentions,Intenciones,,
report.channel_questions,report,Channels,Canaux,Canales,,
report.knowledge_questions,report,Awareness of communities,Sensibilisation des communautés,Conocimiento de las comunidades,,
report.score,report,Scores,Scores,Puntuaciones,,
report.score_overall,report,Overall Score,Score global,Puntuación general,,
report.score_factors,report,Score by factors,Score par facteurs,Puntuación por factores,,
report.score_profile,report,Score by respondent profile,Score par profil des répondants,Puntuación por perfil de los encuestados,,
report.methods_metrics,report,Methods and Metrics,Méthodes et indicateurs,Métodos e indicadores,,
report.methods,report,Methods,Méthodes,Métodos,,
report.scoring_methods,report,Scoring methodology,Méthodologie de calcul des scores,Metodología de puntuación,,
report.metrics,report,Metrics,Indicateurs,Indicadores,,
report.weighting,report,Weighting,Pondération,Ponderación,,
report.weighting_comparison,report,Weighting vs. unweighting,Pondération vs. données non pondérées,Ponderación vs. datos no ponderados,,
report.correlation,report,Correlation,Corrélation,Correlación,,
report.significance_testing,report,Significance testing,Tests de significativité,Pruebas de significancia,,
report.download,report,Download,Télécharger,Descargar,,
report.download_button,report,Download Summary Excel File,Télécharger le fichier Excel de synthèse,Descargar el archivo Excel de resumen,,
sampling.title,sampling,Sampling,Échantillonnage,Muestreo,,
sampling.from_survey,sampling,From survey,Données de l’enquête,Datos de la encuesta,charts_sampling.R,Chart title
sampling.population,sampling,Population,Population,Población,charts_sampling.R,Chart subtitle
sampling.survey,sampling,Survey,Enquête,Encuesta,charts_sampling.R,Chart title/series label
sampling.survey_vs_population,sampling,Survey vs. population data,Comparaison entre les données de l’enquête et de la population,Comparación entre los datos de la encuesta y de la población,charts_sampling.R,Series/caption label
sampling.other_regions,sampling,Other regions,Autres régions,Otras regiones,charts_sampling.R,Population pyramid title
sampling.total_respondents_map,sampling,Total respondents,Nombre total de répondants,Número total de personas encuestadas,charts_sampling.R,Generated geographic category/comment label
sampling.region_column_missing,sampling,Region column missing from survey data,La variable région est absente des données de l’enquête,La variable de región no está disponible en los datos de la encuesta,charts_sampling.R,Map legend title
sampling.geo_population_missing,sampling,Geographic population data not available,Les données géographiques de population ne sont pas disponibles,Los datos geográficos de población no están disponibles,charts_sampling.R,Placeholder message
sampling.category_data_missing,sampling,Data not available,Les données pour %s ne sont pas disponibles,Los datos de %s no están disponibles,charts_sampling.R,Placeholder message
sampling.no_matching_geographies,sampling,No matching geographies after join. Check join keys or spelling.,Aucune correspondance géographique après la jointure. Vérifiez les clés de jointure ou l’orthographe.,No hay geografías coincidentes después de la unión. Verifique las claves de unión o la ortografía.,charts_sampling.R,Dynamic placeholder; one %s argument
sampling.admin_levels_available,sampling,All administrative levels are available. Proceeding...,Tous les niveaux administratifs sont disponibles. Poursuite du traitement...,Todos los niveles administrativos están disponibles. Continuando...,charts_sampling.R,Error message
