type,key,EN,FR,ES,PT,source_files,usage,,,,
template,common.no_data,no data,données indisponibles,datos no disponibles,dados indisponíveis,charts_sampling.R,Chart annotation,,,,
template,common.note,Note,Note,Nota,Nota,charts_sampling.R,Caption label,,,,
template,common.others,Others,Autres,Otros,Outros,charts_sampling.R; charts_score.R,Generated category label,,,,
template,common.overall,Overall,Global,General,Global,charts_score.R; export.R,Generic displayed label,,,,
template,common.percentage,Percentage (%),Pourcentage (%),Porcentaje (%),Percentagem (%),charts.R; tables.R,Table header,,,,
template,common.respondents,Respondents,Répondants,Personas encuestadas,Respondentes,charts_sampling.R,Map popup label,,,,
template,common.source,Source,Source,Fuente,Fonte,charts_sampling.R,Caption label,,,,
template,common.total,Total,Total,Total,Total,charts.R; tables.R,Table total row,,,,
template,common.total_respondents,Total respondents,Nombre total de répondants,Número total de personas encuestadas,Total de respondentes,charts_sampling.R; charts.R; tables.R,Legend/table header,,,,
template,drivers.behaviours_title,Interactions with the Red Cross,Interactions avec la Croix-Rouge,Interacciones con la Cruz Roja,Interações com a Cruz Vermelha,,,,,,
template,drivers.exp_title,Past experiences with the Red Cross,Expériences passées avec la Croix-Rouge,Experiencias previas con la Cruz Roja,Experiências anteriores com a Cruz Vermelha,,,,,,
template,drivers.intention_subtitle,In the next 12 months,Au cours des 12 prochains mois,Durante los próximos 12 meses,Nos próximos 12 meses,,,,,,
template,drivers.intention_title,Intentions toward the Red Cross,Intentions envers la Croix-Rouge,Intenciones hacia la Cruz Roja,Intenções em relação à Cruz Vermelha,,,,,,
template,drivers.impact_title,Perceived impact of Red Cross action,Impact perçu de l’action de la Croix-Rouge,Impacto percibido de la acción de la Cruz Roja,Impacto percebido da ação da Cruz Vermelha,,,,,,
template,drivers.opinions_subtitle,Respondents' opinions and perceptions about,Opinions et perceptions des répondants concernant %s,Opiniones y percepciones de las personas encuestadas sobre %s,Opiniões e perceções dos respondentes sobre,charts_drivers.R,Chart title,,,,
template,drivers.responses_by_subdimension,Survey responses by subdimension,Réponses à l’enquête par sous-dimension,Respuestas de la encuesta por subdimensión,Respostas ao inquérito por subdimensão,charts_score.R,Data label,,,,
template,export.extra_questions,Extra questions,Questions supplémentaires,Preguntas adicionales,Questões adicionais,tables.R,Error message,,,,
template,export.factor,Factor,Facteur,Factor,Fator,export.R,Export group/name,,,,
template,export.geographic,Geographic,Géographique,Geográfico,Geográfico,export.R,Worksheet label,,,,
template,export.sampling_age,Sampling - age,Échantillonnage - âge,Muestreo - edad,Amostragem - idade,export.R,Worksheet/export label,,,,
template,export.sampling_gender,Sampling - gender,Échantillonnage - genre,Muestreo - género,Amostragem - género,export.R,Worksheet label,,,,
template,export.sampling_geographic,Sampling - geographic,Échantillonnage - géographie,Muestreo - geografía,Amostragem - geografia,export.R,Worksheet label,,,,
template,export.sampling_profile,Sampling - profile,Échantillonnage - profil,Muestreo - perfil,Amostragem - perfil,export.R,Worksheet label,,,,
template,export.series,Series,Série,Serie,Série,export.R,Export group,,,,
template,report.behaviours_questions,Behaviours,Comportements,Comportamientos,Comportamentos,,,,,,
template,report.channel_questions,Channels,Canaux,Canales,Canais,,,,,,
template,report.competencies,Competencies,Compétences,Competencias,Competências,,,,,,
template,report.contextual_questions,Contextual questions,Questions contextuelles,Preguntas contextuales,Questões contextuais,,,,,,
template,report.contextual_questions.text,"This section presents findings on community members’ experiences with and behaviors toward the Red Cross. These questions explore interactions, perceptions, and engagement patterns, offering insights into how the Red Cross is viewed and utilized within the community.","Cette section présente les résultats relatifs aux expériences des membres de la communauté avec la Croix-Rouge ainsi qu'à leurs comportements à son égard. Ces questions explorent les interactions, les perceptions et les modes d'engagement, afin de mieux comprendre comment la Croix-Rouge est perçue et sollicitée au sein des communautés.","sta sección presenta los resultados sobre las experiencias de los miembros de la comunidad con la Cruz Roja y sus comportamientos hacia ella. Estas preguntas exploran las interacciones, las percepciones y los patrones de participación, con el fin de comprender mejor cómo la Cruz Roja es percibida y utilizada dentro de las comunidades.","Esta secção apresenta os resultados sobre as experiências dos membros da comunidade com a Cruz Vermelha e os seus comportamentos em relação à mesma. Estas questões exploram as interações, perceções e padrões de envolvimento, permitindo compreender melhor como a Cruz Vermelha é vista e utilizada na comunidade.",,,,,,
template,report.correlation,Correlation,Corrélation,Correlación,Correlação,,,,,,
template,report.coverage,Coverage,Couverture,Cobertura,Cobertura,,,,,,
template,report.download,Download,Télécharger,Descargar,Transferir,,,,,,
template,report.download_button,Download Summary Excel File,Télécharger le fichier Excel de synthèse,Descargar el archivo Excel de resumen,Transferir ficheiro Excel de síntese,,,,,,
template,report.drivers,Perception of trust,Perception de la confiance,Percepción de la confianza,Perceção de confiança,,,,,,
template,report.exp_questions,Experiences,Expériences,Experiencias,Experiências,,,,,,
template,report.gender,Gender and Age,Genre et âge,Género y edad,Género e idade,,,,,,
template,report.geographic_distribution,Geographic distribution,Distribution géographique,Muestreo,Distribuição geográfica,,,,,,
template,report.insights,Key insights,Points clés,Puntos clave,Principais conclusões,,,,,,
template,report.intention_questions,Intention,Intentions,Intenciones,Intenção,,,,,,
template,report.impact_questions,Impact,Impact,Impacto,Impacto,,,,,,
template,report.knowledge_questions,Awareness of communities,Sensibilisation des communautés,Conocimiento de las comunidades,Conhecimento das comunidades,,,,,,
template,report.risk_questions,Risk perception,Perception des risques,Percepción de los riesgos,Perceção do risco,,,,,,
template,report.ews_questions,Trust and EWS,Confiance et Alertes précoces,Confianza y Alerta Temprana,Confiança e alerta precoce,,,,,,
template,report.ews,Early Warning,Alertes précoces,Alerta Temprana,Alerta precoce,,,,,,
template,report.methods,Methods,Méthodes,Métodos,Métodos,,,,,,
template,report.methods_metrics,Methods and Metrics,Méthodes et indicateurs,Métodos e indicadores,Métodos e métricas,,,,,,
template,report.metrics,Metrics,Indicateurs,Indicadores,Métricas,,,,,,
template,report.results,Survey Results,Résultats de l'enquête,Resultados de la encuesta,Resultados do inquérito,,,,,,
template,report.sampling,Sampling,Échantillonnage,Muestreo,Amostragem,,,,,,
template,report.limitations,Limitations,Limitations,Limitaciones,Limitações,,,,,,
template,report.score,Scores,Scores,Puntuaciones,Pontuações,,,,,,
template,report.score_factors,Score by factors,Score par facteurs,Puntuación por factores,Pontuação por fatores,,,,,,
template,report.score_overall,Overall Score,Score global,Puntuación general,Pontuação global,,,,,,
template,report.score_profile,Score by respondent profile,Score par profil des répondants,Puntuación por perfil de los encuestados,Pontuação por perfil de respondente,,,,,,
template,report.scoring_methods,Scoring methodology,Méthodologie de calcul des scores,Metodología de puntuación,Metodologia de pontuação,,,,,,
template,report.significance_testing,Significance testing,Tests de significativité,Pruebas de significancia,Teste de significância,,,,,,
template,report.values,Values,Valeurs,Valores,Valores,,,,,,
template,report.weighting,Weighting,Pondération,Ponderación,Ponderação,,,,,,
template,report.weighting_comparison,Weighting vs. unweighting,Pondération vs. données non pondérées,Ponderación vs. datos no ponderados,Ponderação vs. ausência de ponderação,,,,,,
template,runtime.charts_loaded,Charts and visual outputs loaded,Graphiques et éléments visuels chargés,Gráficos y elementos visuales cargados,Gráficos e resultados visuais carregados,charts_advanced.R; charts.R; charts_score.R; charts_sampling.R; charts_drivers.R,Console message,,,,
template,runtime.data_exported,Report data exported,Données du rapport exportées,Datos del informe exportados,Dados do relatório exportados,export.R,Console message,,,,
